Year,Max,Year,Min
1995,28.4083333333333,1995,15.7583333333333
1996,28.1416666666667,1996,15.4083333333333
1997,27.8083333333333,1997,15.2583333333333
1998,27.8416666666667,1998,16.2333333333333
1999,27.7833333333333,1999,15.325
2000,27.98,2000,15.4727272727273
2001,28.0333333333333,2001,15.175
2002,29.38,2002,16.37
2003,28.3083333333333,2003,15.7916666666667
2004,27.8166666666667,2004,15.5
2005,28.4666666666667,2005,15.6583333333333
2006,28.0333333333333,2006,16
2007,28.0833333333333,2007,15.6416666666667
2008,28.0166666666667,2008,15.4416666666667
2009,28.8833333333333,2009,16.2166666666667
2010,28.125,2010,16.05
2011,28.6416666666667,2011,15.925
2012,29.2333333333333,2012,15.5583333333333
2013,29.175,2013,15.9083333333333
2014,29.025,2014,16.1583333333333
2015,29.6833333333333,2015,16.6666666666667
2016,28.925,2016,16.425
2017,28.9833333333333,2017,16.0333333333333
2018,28.4916666666667,2018,16.325
2019,27.8333333333333,2019,15.55
2020,28.5375,2020,16.8375
