Year,Max,,Min
1995,28.40833333,,15.75833333
1996,28.14166667,,15.40833333
1997,27.80833333,,15.25833333
1998,27.84166667,,16.23333333
1999,27.78333333,,15.325
2000,27.98,,15.47272727
2001,28.03333333,,15.175
2002,29.38,,16.37
2003,28.30833333,,15.79166667
2004,27.81666667,,15.5
2005,28.46666667,,15.65833333
2006,28.03333333,,16
2007,28.08333333,,15.64166667
2008,28.01666667,,15.44166667
2009,28.88333333,,16.21666667
2010,28.125,,16.05
2011,28.64166667,,15.925
2012,29.23333333,,15.55833333
2013,29.175,,15.90833333
2014,29.025,,16.15833333
2015,29.68333333,,16.66666667
2016,28.925,,16.425
2017,28.98333333,,16.03333333
2018,28.49166667,,16.325
2019,27.83333333,,15.55
2020,28.5375,,16.8375
