Year,Max,Min
1995,25.3583333333333,12.1166666666667
1996,25.5583333333333,11.5833333333333
1997,25.8916666666667,12.0666666666667
1998,26.6181818181818,11.52
1999,25.4272727272727,11.9090909090909
2000,25.2444444444444,12.1363636363636
2001,25.1666666666667,12.125
2002,25.9333333333333,12.5333333333333
2003,25.675,12.525
2004,25.3,12.35
2005,25.5666666666667,11.925
2006,25.15,12.8333333333333
2007,25.5833333333333,12.6
2008,25.2583333333333,11.8916666666667
2009,26.0083333333333,12.775
2010,25.3,12.8166666666667
2011,25.3583333333333,12.0916666666667
2012,25.4583333333333,11.9
2013,25.05,12.475
2014,24.9,12.8583333333333
2015,25.975,12.9833333333333
2016,26.6583333333333,12.1833333333333
2017,27.0727272727273,10.4454545454545
2018,26.7666666666667,11.7166666666667
2019,28.1,9.05
2020,21.7,11.2
