Year,Max,Min
1995,29.1285714285714,16.1428571428571
1996,28.2888888888889,14.5444444444444
1997,26.9,15.2666666666667
1998,25.7428571428571,15.05
1999,30.1666666666667,15.8666666666667
2000,32.1,14.2166666666667
2001,32.9727272727273,14.0454545454545
2002,28.9,14.6
2003,30.7916666666667,14.9916666666667
2004,30.1833333333333,14.1833333333333
2005,31.0818181818182,10.6181818181818
2006,30.8833333333333,14.3916666666667
2007,30.9666666666667,12.6166666666667
2008,30.49,12.6666666666667
2009,32.3416666666667,13.0416666666667
2010,31.2083333333333,12.7666666666667
2011,30.8166666666667,12.725
2012,30.5083333333333,13.3666666666667
2013,30.6666666666667,14.2083333333333
2014,31.8916666666667,13.9333333333333
2015,32.5666666666667,13.425
2016,31.7333333333333,12.7083333333333
2017,31.14,12.94
2018,30.9666666666667,13.1666666666667
2019,34.225,15.475
2020,31.5428571428571,2020
