Year,Max,Min
1995,23.25,10.1
1996,22.4333333333333,10.9181818181818
1997,22.65,10.8083333333333
1998,22.8583333333333,10.35
1999,22.7916666666667,11.025
2000,22.7416666666667,11.2583333333333
2001,22.7166666666667,8.98181818181818
2002,23.85,8.78333333333333
2003,23.175,8.6
2004,23.2,8.56666666666667
2005,23.4083333333333,8.575
2006,23.0666666666667,8.7
2007,23.0916666666667,8.49166666666667
2008,23.2272727272727,8
2009,23.0583333333333,7.70833333333334
2010,22.35,8.45833333333333
2011,22.6636363636364,7.64166666666667
2012,22.8727272727273,7.20909090909091
2013,22.6333333333333,7.95833333333334
2014,22.2125,7.8875
2015,23.7833333333333,8.11666666666667
2016,23.3181818181818,8.32727272727273
2017,22.9636363636364,6.64545454545455
2018,22.82,7.38
2019,21.65,8.2
2020,22.14,10.02
