Year,Max,Min
1995,33.8,18.5545454545455
1996,33.3,17.2222222222222
1997,33.5363636363636,18.2636363636364
1998,33.625,18.7166666666667
1999,33.4083333333333,17.25
2000,33.625,17.2166666666667
2001,33.775,17.8
2002,34.7833333333333,18.85
2003,34.1416666666667,18.3
2004,33.775,18.1666666666667
2005,34.0666666666667,17.8
2006,33.975,18.29
2007,33.3,17.7272727272727
2008,33.625,16.975
2009,34.7916666666667,18.225
2010,33.825,18.325
2011,34.3666666666667,17.8166666666667
2012,34.275,17.2916666666667
2013,34,17.8083333333333
2014,34.3166666666667,18.1
2015,35.1916666666667,18.5833333333333
2016,34.4583333333333,18.6416666666667
2017,34.1583333333333,17.3888888888889
2018,34.2363636363636,18.1909090909091
2019,33.44,18.28
2020,34.0333333333333,19.1833333333333
