Year,Max,Min
1995,28.17,13.5444444444444
1996,27.9727272727273,12.2272727272727
1997,28.3083333333333,12.775
1998,28.725,12.2583333333333
1999,29.9222222222222,12.8555555555556
2000,28.2083333333333,12.2
2001,28.7833333333333,11.6083333333333
2002,29.0166666666667,11.4916666666667
2003,29.0916666666667,10.075
2004,29.95,9.19
2005,29.5444444444444,7.96666666666667
2006,30.2416666666667,9.33333333333333
2007,31.2666666666667,10.4166666666667
2008,27.9583333333333,11.9416666666667
2009,28.775,12.35
2010,28.3166666666667,12.5666666666667
2011,29.35,12.35
2012,28.82,10.79
2013,29.2083333333333,11.5
2014,29.5916666666667,11.6333333333333
2015,30.0166666666667,11.6083333333333
2016,29.675,12.2916666666667
2017,30.0090909090909,11.8727272727273
2018,29.7625,10.8625
2019,29.2833333333333,12.2
2020,29.6166666666667,12.4666666666667
