Year,Max,Min
1995,28.0083333333333,13.875
1996,27.575,14.3666666666667
1997,27.9583333333333,14.5285714285714
1998,27.86,15.1833333333333
1999,27.6916666666667,13.8083333333333
2000,27.65,14.4
2001,27.4916666666667,14.6833333333333
2002,29.1166666666667,15.6083333333333
2003,28.1416666666667,14.575
2004,27.5363636363636,15.0166666666667
2005,28.1333333333333,15.475
2006,27.625,15.7416666666667
2007,27.3416666666667,15.4416666666667
2008,27.2333333333333,14.8666666666667
2009,28.225,15.8166666666667
2010,27.7,15.4083333333333
2011,28.2333333333333,15.2333333333333
2012,28.2916666666667,15.5083333333333
2013,28.5583333333333,15.8083333333333
2014,28.6666666666667,16.0333333333333
2015,29.3833333333333,16.3333333333333
2016,28.85,16.2416666666667
2017,28.7416666666667,15.5666666666667
2018,28.5666666666667,15.65
2019,28.7166666666667,16.075
2020,28.0714285714286,16.1571428571429
