Year,Max,Min
1995,32.3375,17.7375
2000,29.7,12.9
2001,31.5,15.5583333333333
2002,32.25,17.675
2003,32.1,17.0583333333333
2004,31.7,16.875
2005,32.075,16.6666666666667
2006,31.7,18.05
2007,31.9555555555556,18.2888888888889
2008,30.3,15.7833333333333
2009,32.2666666666667,17.1833333333333
2010,31.5545454545455,17.2909090909091
2011,31.875,16.4416666666667
2012,31.6583333333333,15.9166666666667
2013,31.4583333333333,16.8
2014,32.025,16.925
2015,32.6666666666667,17.3583333333333
2016,32.2090909090909,17.2909090909091
2017,31.5916666666667,16.1333333333333
2018,31.9636363636364,17.2909090909091
2019,32.02,16.7
2020,32.2,18.2285714285714
