Year,Max,Min
1995,22.1416666666667,8.78888888888889
1996,22.0181818181818,4.75
1997,22.02,8.78181818181818
1998,22.15,9.20833333333333
1999,22.0416666666667,7.74545454545455
2000,22.38,7.79166666666667
2001,22.3,8.24166666666667
2002,22.9,8.55
2003,22.825,8.575
2004,22.75,8.38333333333334
2005,22.525,8.425
2006,22.25,9.15833333333333
2007,22.275,8.70833333333333
2008,22.5666666666667,7.53333333333333
2009,22.5833333333333,8.7
2010,21.975,9.14166666666667
2011,22.6166666666667,8.63333333333334
2012,22.9666666666667,7.79166666666667
2013,22.425,8.54166666666667
2014,22.6916666666667,8.54166666666667
2015,23.6083333333333,8.70833333333333
2016,22.8916666666667,9.21666666666667
2017,23.0166666666667,8.18333333333333
2018,22.4083333333333,8.86666666666667
2019,21.92,8.8
2020,22.8,10.3222222222222
