Year,Max,Min
2000,21.5666666666667,6.11666666666667
2003,22.3416666666667,7.42857142857143
2004,22.025,7.8
2005,22.1083333333333,7.63333333333333
2006,21.8416666666667,8.08333333333333
2007,22.31,7.91
2008,22.2166666666667,7.6
2009,22.5454545454545,8.10909090909091
2010,21.95,8.425
2011,22.1727272727273,8.32727272727273
2012,22.3333333333333,9.61666666666667
2013,22.8,9.36666666666667
2014,22.3916666666667,7.79166666666667
2015,23.42,7.59
2016,22.24,8.28
2017,22.1,7.39166666666667
2018,21.7714285714286,8.3
2019,25.12,7.7
2020,23.0333333333333,9.73333333333333
