Year,Max,Min
1995,20.05,10.3333333333333
2003,20.6857142857143,9.78571428571429
2004,20.4777777777778,8.78888888888889
2005,21.1333333333333,7.01666666666667
2006,19.9363636363636,8.82727272727273
2007,21.0333333333333,9.1
2008,21.05,8.36666666666667
2009,21.1333333333333,8.61666666666667
2010,20.25,10.6583333333333
2011,20.825,10.7
2012,21.3,9.50833333333334
2013,20.35,9.84166666666667
2014,20.2916666666667,9.9
2015,22.04,10.575
2016,21.9,11.0333333333333
2017,20.8,10.8
2018,20.22,11.61
2019,20.2333333333333,9.86666666666667
2020,21.0166666666667,10.5166666666667
