Year,Max,Min
1998,33.8222222222222,14.8444444444444
1999,33.07,13.01
2000,30.7777777777778,11.5444444444444
2001,30.32,16.84
2002,30.375,17.9416666666667
2003,31,18.38
2004,31.41,14.4666666666667
2005,31.5909090909091,13.7
2006,31,15.61
2007,31.5545454545455,13.1727272727273
2008,31.4333333333333,13.1083333333333
2009,33.04,14.34
2010,30.9,13.5142857142857
2011,30.375,15.3833333333333
2012,29.3083333333333,14.725
2013,29.9333333333333,14.325
2014,30.675,13.7416666666667
2015,31.8666666666667,14.1166666666667
2016,31.7727272727273,15.3916666666667
2017,31.375,12.05
2018,29.7444444444445,15.1111111111111
2019,31.1857142857143,15.7428571428571
2020,31.52,15.67
