Year,Max,Min
1995,29,14.0833333333333
1996,28.5583333333333,13.975
1997,28.9888888888889,14.0888888888889
1998,28.475,11.4625
1999,29.06,10.47
2000,28.6,12.45
2001,28.5583333333333,13.7083333333333
2002,29.45,14.7833333333333
2003,28.625,14.15
2004,28.6666666666667,14.3333333333333
2005,28.8875,13.9666666666667
2006,29.25,14.7166666666667
2007,28.7416666666667,14.05
2008,28.7333333333333,13.65
2009,29.7083333333333,14.15
2010,28.4909090909091,14.9272727272727
2011,28.99,9
2012,29.1083333333333,13.3166666666667
2013,29.2875,14.875
