Year,Max,Min
1995,28.06,13.62
1996,27.6833333333333,15.775
1997,28.3333333333333,17.1714285714286
1998,28.4333333333333,16.3285714285714
1999,28.1363636363636,13.41
2000,28.1090909090909,12.85
2001,28.5166666666667,13.0333333333333
2002,29.5666666666667,13.9583333333333
2003,28.8916666666667,12.9333333333333
2004,30.075,13.4272727272727
2005,30.36,13.8666666666667
2006,29.9727272727273,10.2454545454545
2007,28.1833333333333,13.2727272727273
2008,28.125,11.8
2009,27.62,11.5
2010,27.9875,13.8625
2011,28.1333333333333,13.1888888888889
2012,28.6583333333333,13.0333333333333
2013,28.2333333333333,13.5916666666667
2014,29.425,13.55
2015,29,15.4666666666667
2016,31.4,14.7
2017,31.2375,10.375
2018,29.6333333333333,9.39
2019,30.06,10
